,-4,-6,-8,-4,-3,-9,-2,-4
,4,0,2,-3,17,7,0,5
,-1,1,2,7,-1,2,5,1
,-5,10,23,1,0,-12,-16,-7
,2,-17,-12,0,-5,11,12,-12
,5,10,15,-1,-9,19,12,13
,-9,-5,-21,-10,-6,-8,-5,-5
,2,-3,-2,7,8,1,-1,-2
,-1,3,4,2,14,-17,-9,-5
,-1,1,-5,-2,-2,-4,-2,-5
,0,2,4,3,-7,16,2,2
,1,1,3,-3,-3,-7,-1,0
,-3,0,-3,4,12,-5,-5,2
,-2,-3,-4,-7,-15,-3,-2,-4
,1,-1,1,-1,-4,2,-2,3
,-2,-2,-3,-3,3,-7,0,-4
,1,1,0,2,42,6,2,4
,-1,-3,-3,4,-1,-2,-2,-1
,-2,-2,0,-6,1,-5,-1,-1
,-1,-2,-2,11,-28,2,2,-2
,-1,0,-1,-6,-2,-3,-2,-1
,1,2,2,1,-1,-7,-4,0
,0,2,-4,-1,0,0,0,0
,1,-5,-7,-10,-3,4,0,-1
,3,0,0,4,-11,0,-1,3
,-4,-3,1,-2,-14,-12,-3,-5
,0,1,3,8,35,8,5,2
,-1,-1,-5,-7,-4,-2,-1,-2
,-4,-2,0,1,-23,2,-2,-2
,-1,-2,0,2,32,2,0,-1
,-3,-1,-2,-1,-13,-3,0,-1
,1,-1,-3,-4,7,3,3,0
,-3,-1,1,-1,-4,0,-1,0
,-1,-1,-1,-6,-9,-3,-1,-1
,1,-2,0,4,-16,-4,-5,-1
,-1,0,1,4,12,3,1,-2
,-4,-1,-3,-3,-18,-4,0,-2
,1,-1,0,1,1,1,-1,-1
,0,-1,-4,-9,3,-7,-1,-2
,-3,-1,-3,-4,-3,1,-1,1
,0,-2,0,8,9,0,0,-1
,0,0,2,4,3,1,-1,0
,-1,-3,-2,-1,2,-2,0,0
,-2,-2,-4,0,-2,-1,1,-1
,2,-1,-1,-14,-9,-1,-2,-1
,-1,0,-1,5,0,-1,0,-1
,-3,-1,-1,5,-7,-3,-2,-3
,2,0,0,-3,1,1,1,0
,-1,-3,-3,1,0,-4,-3,0
,-4,-1,-3,-10,-5,-1,0,-1
,1,0,4,5,3,0,-1,0
,0,-2,1,1,1,0,0,-1
,-2,-2,2,1,-6,-2,-2,0
,0,0,-3,-3,2,0,-1,-2
,-1,0,-4,-4,-1,-1,-1,0
,-1,-2,-1,0,0,-1,0,-3
,-1,0,-3,-7,-3,-3,-2,-1
,1,-2,0,0,0,1,0,0
,-1,-3,2,9,2,0,0,-2
,-4,0,2,-2,-10,0,-1,1
,-2,-1,-6,-2,17,-2,-1,-3
,1,-1,-3,-7,-3,-1,-1,0
,-2,-1,3,-1,-3,-3,-1,-2
,1,-1,0,1,-1,2,-1,-1
,0,-1,0,0,-5,-4,-2,-1
,-1,0,0,-6,-17,-3,-1,-2
,-1,-2,-5,-3,4,-2,-1,-2
,2,-1,2,7,6,7,1,0
,-1,0,0,0,13,-1,-1,1
,-5,-2,-1,0,0,0,-2,-2
,0,-1,-4,-6,-17,-5,-1,0
,1,0,-2,-17,-9,-5,-3,-1
,2,0,-1,12,7,5,1,1
,1,-1,3,7,-5,-3,0,-1
,-1,-2,0,2,-5,-1,0,0
,-2,-1,-3,3,14,1,0,0
,-4,-2,-4,-13,-13,-7,-1,-2
,1,0,0,2,1,2,-1,1
,2,2,-2,-1,14,2,-1,-2
,-3,-2,1,-4,-4,-3,-1,-1
,-4,-1,-1,-1,-12,-1,0,-2
,0,-3,0,7,9,0,0,-1
,-2,-4,-2,-6,6,2,-2,0
,-2,-4,-4,-5,-4,-5,-1,0
,1,0,1,2,-1,2,1,0
,-1,-1,0,-10,-4,-3,0,-1
,-2,-1,-2,10,1,-4,-1,0
,1,0,4,8,2,0,-1,-2
,-1,-2,0,3,-6,0,-1,-1
,-3,0,-6,-5,-2,-2,-1,-1
,0,-2,-1,-13,-1,-1,0,1
,0,-2,-3,0,0,-2,1,-2
,-2,0,-1,-2,-7,-2,-2,-1
,-3,0,-3,1,3,0,-1,-1
,2,-1,1,2,0,-2,-1,0
,-1,-1,-3,-3,-4,-1,-1,-2
,-1,-1,0,-5,-1,1,-1,0
,1,1,-3,0,-4,-2,-2,-1
,0,-1,-3,-6,-3,0,-1,-2
,-1,0,-1,-5,-4,-1,0,0
,0,0,4,15,-4,-1,-1,-1
,1,-1,0,1,10,1,-1,-2
,-4,-1,0,-2,-8,-1,-2,-1
,-2,-1,0,-2,10,0,0,-1
,2,-1,-3,-6,-9,-2,-1,-1
,-2,-1,-1,3,0,-1,1,1
,0,0,-2,-5,-1,-1,-1,0
,0,-1,1,1,-4,-1,-1,0
,-2,0,1,-1,0,-2,-1,1
,-3,-1,1,3,2,-2,-1,-1
,-2,-1,-4,-4,2,-1,-1,-1
,0,-1,-5,-1,-2,0,-1,0
,-2,0,4,5,5,0,-1,0
,0,1,-1,-7,-5,-1,-2,-2
,2,1,2,2,-1,2,0,1
,-3,0,0,8,-1,-1,-1,-2
,0,1,-6,-5,0,0,-1,0
,2,-1,-2,0,0,2,0,2
,-2,-2,3,0,0,-1,0,-1
,-3,-1,-6,-2,-2,0,-1,0
,-1,-2,-2,-4,1,0,1,-2
,-2,-1,1,-2,-5,-3,-1,0
,-3,-3,-1,7,3,-1,0,-1
,0,-1,-1,-3,0,-2,0,0
,0,0,-5,-5,-4,0,-2,-1
,-1,-1,3,2,1,-2,-1,0
,-1,-1,0,0,-4,-1,0,-1
,2,-2,-1,-2,1,0,-2,-1
,-1,0,-1,5,0,-2,0,-1
,-2,-1,0,0,-3,0,-1,-2
,0,1,-2,-1,-1,-2,-1,-2
,1,-1,-5,-7,-2,-4,-1,-1
,-1,-1,-4,-7,0,1,-1,-1
,1,-1,2,4,2,-1,-1,1
,0,-1,2,5,-1,-1,-1,0
,-2,-2,0,-2,-1,-1,-2,-2
,-2,-2,-4,-3,2,0,-1,-2
,0,-1,-2,-3,-4,-1,0,0
,-1,0,-2,0,2,1,0,0
,-1,0,0,3,1,-1,0,-1
,-1,-1,3,-1,-2,-2,-1,-1
,-1,-3,-5,-9,-2,-1,-1,-2
,-3,0,-6,-16,-2,-2,0,-1
,0,0,3,15,0,-1,0,0
,0,0,3,-1,1,-2,1,0
,-5,1,0,-2,-3,0,-2,0
,0,0,-3,-7,0,-1,-2,-2
,2,-2,-1,-2,-1,0,-2,-1
,-3,-1,0,7,-1,0,-1,0
,1,-1,1,0,-2,-1,-1,-1
,6,1,-1,1,-3,-1,-1,0
,-8,-1,0,-5,-2,-3,-1,-2
,-6,-1,-2,-3,4,-1,0,-1
,7,-2,-4,2,0,-1,0,0
,-2,-2,1,4,-1,0,-1,-2
,-8,-1,2,-9,-4,-2,-1,-1
,7,0,-1,1,-4,0,-2,1
,3,-1,-1,3,2,-1,-1,-1
,-8,-2,-2,-7,-1,0,0,-1
,1,0,1,7,0,1,-1,0
,6,-1,2,9,-1,1,-2,0
,-7,0,-4,-7,-1,-1,-1,-2
,-4,-2,-3,0,-3,-2,-2,-1
,5,-1,2,-6,0,-1,0,1
,0,-1,-1,-5,-1,-2,1,0
,-5,-1,-1,3,2,0,-1,0
,3,-1,2,1,0,0,1,0
,1,1,1,3,-1,0,-1,-2
,-5,-2,-3,-3,0,-2,-2,-1
,-2,0,0,-8,-1,-2,-1,-1
,4,0,-1,3,0,-1,0,1
,-2,-3,-1,-2,-3,-1,-2,-1
,-2,-1,0,-2,1,-1,-1,-2
,1,0,0,5,-1,0,0,0
,-1,-3,-1,1,-1,-2,0,-2
,-2,0,-4,-12,-3,-1,0,-1
,1,-2,-2,4,-3,-3,0,0
,2,-2,2,0,1,0,0,0
,-2,0,1,6,0,0,-2,-1
,0,0,-6,-5,2,0,-1,-2
,2,0,2,-4,-3,0,-1,0
,-1,-2,1,3,-2,0,1,-2
,-3,-1,-1,-4,-4,-2,-2,0
,3,0,0,2,3,-1,1,0
,-3,-2,-4,-1,-3,1,0,-1
,-3,1,1,0,-1,-3,-1,-1
,0,0,-2,-3,-2,-1,0,0
,-4,-2,0,1,0,-1,-2,-1
,7,-1,-2,2,-3,-2,-1,-1
,-2,-1,-2,-5,-3,-1,-1,-1
,-9,0,-3,-5,0,-2,-1,-3
,6,-1,2,9,2,0,0,0
,-1,0,0,-9,-1,-1,-2,0
,-10,-2,-1,8,-4,-2,-3,-2
,4,1,-2,-8,-1,1,-1,1
,3,-2,2,7,-1,0,-1,0
,-1,-2,-3,-1,0,-1,-1,-1
,2,-2,-4,-9,-3,0,0,-2
,-7,1,3,6,6,-2,-1,-2
,-4,-1,1,4,-4,-1,-1,-1
,0,1,-3,-4,-1,0,-1,-1
,-1,-1,-2,-6,-3,-2,-2,-2
,0,-1,-1,1,2,1,-3,-1
,2,1,-3,5,1,0,-1,-1
,-3,-1,3,-2,-4,-1,-2,0
,-2,0,-2,-1,0,-3,-1,-1
,4,-1,1,1,-2,1,0,1
,0,0,-2,-15,-1,0,0,-1
,-5,-2,-1,12,-1,0,0,-2
,1,0,0,1,1,0,0,0
,2,0,-2,-3,-5,-1,0,1
,-4,-1,-3,-3,2,-2,0,-2
,-3,-2,-2,-7,-1,-1,-1,-2
,2,-1,1,2,1,1,-1,0
,-1,-1,-1,2,0,0,0,0
,-4,-1,-5,2,-2,-1,-1,-1
,-1,-1,2,-5,1,1,0,1
,1,-2,-3,1,-3,0,0,1
,-4,-1,-2,-2,4,-1,-1,0
,-1,-1,-4,-4,-2,0,-2,-2
,1,-2,1,2,-1,-3,0,0
,0,2,2,2,-3,0,-1,1
,-1,-2,-3,-6,-2,-1,0,-1
,1,-2,2,-2,1,-1,-2,0
,-3,0,0,14,2,-2,-2,-2
,-2,0,-3,-10,3,0,-2,-2
,0,-1,-1,4,-2,-2,0,-1
,-1,0,-1,-2,-3,0,-1,-2
,-1,-2,-3,-7,-3,-2,-1,1
,-1,0,2,3,1,0,0,0
,2,-1,1,4,2,-1,-2,-1
,-2,-1,-2,-5,-2,0,-1,-2
,-3,-1,0,-1,0,0,0,-1
,1,0,-3,-4,-3,-1,-1,-2
,0,0,-1,-3,-3,-2,0,0
,-3,-1,4,4,-3,-1,0,0
,-1,1,1,4,0,-1,-1,-2
,0,-4,-5,-11,-1,0,-1,0
,-3,-2,-2,5,-1,-2,-2,0
,-1,0,-4,3,3,0,0,0
,0,0,0,-5,-1,-1,2,1
,-2,0,2,8,1,-1,1,1
,0,-1,0,-2,-4,0,-1,-1
,-1,-2,-4,-1,-1,-4,-2,-1
,1,-1,-3,-4,-2,-1,0,0
,-1,1,0,-4,-2,-2,-1,0
,-1,-2,0,2,0,-1,1,0
,-2,1,-1,1,1,0,-1,-1
,-2,0,-4,-10,-1,0,0,-2
,0,0,3,7,0,-1,-1,1
,0,0,0,1,1,-1,0,-1
,0,-1,-1,-3,-3,-1,-1,-1
,-2,-1,-1,-2,-2,-2,-2,0
,0,-1,-4,-8,0,-1,0,-1
,2,-1,-1,6,5,-1,-1,0
,-2,-1,3,7,-3,0,0,0
,-1,0,-4,-10,1,1,-1,0
,-1,-1,3,3,-1,0,0,-2
,-2,-1,0,-2,-3,-1,-1,-1
,-1,-1,-2,-5,-1,-1,-2,0
,-1,-2,-2,2,2,-1,0,-1
,-1,0,-1,2,-2,0,-2,0
,-2,0,3,-6,-2,0,-1,-2
,0,-1,-1,2,-1,0,-1,0
,-1,-3,0,2,-1,-1,-1,-2
,-2,-2,-4,-4,0,-1,0,-1
,1,0,-4,-5,-1,-1,-2,-1
,0,-1,2,4,-1,0,1,0
,-1,0,1,1,-3,0,-3,-1
,0,-1,-3,-8,1,0,0,0
,-1,0,1,3,-3,1,0,0
,-1,-1,-4,1,1,-1,0,-2
,0,0,-1,-2,1,2,1,-1
,-1,-1,0,3,-2,1,-1,0
,0,-3,-1,-5,-2,0,-3,-1
,-2,0,-1,-4,-1,-1,-1,1
,-2,-1,-4,-1,1,0,-2,0
,1,1,-1,1,-1,-1,-1,0
,-1,0,3,1,0,0,-1,0
,0,0,1,-3,-1,-1,0,0
,-1,0,-1,3,1,-3,1,-1
,-1,-1,-5,-4,-2,-2,0,-2
,-1,-2,-3,-5,-2,-2,0,-1
,-1,-1,1,2,-3,-1,-1,0
,-1,0,-2,-1,-1,0,-2,-1
,3,-1,-4,-9,1,1,0,-1
,-6,-3,-5,10,-3,-2,-1,-1
,0,1,6,-3,1,-2,-1,-1
,7,-1,-1,3,-3,0,-2,-1
,-4,-2,1,3,-1,-3,-2,-2
,-3,0,-3,-12,-2,-1,-1,-2
,5,-2,-7,4,-1,0,0,-2
,-2,-2,4,2,2,-3,-2,-1
,-7,-1,0,-2,-1,-2,-1,0
,5,-1,-2,-3,0,-1,-1,1
,1,-1,-2,-3,-4,-1,0,0
,-6,0,1,4,0,-1,-1,0
,2,-3,-2,-1,-2,1,1,-2
,2,-1,1,-10,-2,0,-1,-1
,-4,-1,0,13,-1,0,-1,-1
,-2,0,3,-6,3,0,-2,-1
,0,0,-2,6,-1,-1,0,0
,0,0,1,3,1,0,-1,-1
,-2,-3,-6,-11,-1,-2,-3,-2
,-3,-3,-5,-1,-4,-1,-1,-1
,-2,1,3,-1,0,0,-2,-2
,5,1,-4,-1,-1,0,-1,0
,-1,0,1,2,-1,-1,1,0
,-6,0,-2,-2,1,0,0,-1
,0,-2,-3,-1,-2,1,0,-1
,0,-2,-2,0,-2,-1,1,-2
,-4,-1,-2,-7,-3,-2,-2,0
,3,0,0,1,3,0,-1,0
,5,-1,-1,-6,-4,0,0,0
,-4,-1,2,17,5,-1,-2,-2
,-2,0,2,-9,0,-1,-1,-1
,3,-1,-3,3,-5,-2,0,-1
,-1,0,-1,-4,-1,-3,-1,0
,-5,-1,-5,-6,-2,-2,-1,-1
,0,0,2,3,0,1,1,-1
,2,-1,-2,-2,-4,-1,-3,-1
,-3,-1,-1,2,1,-3,-2,1
,-2,0,-2,-7,-5,1,-1,0
,4,0,-2,3,3,1,1,0
,-2,-1,2,-1,-1,-1,0,-1
,-2,0,-1,-2,-4,-1,-1,0
,2,-1,1,1,1,-2,-1,-1
,-1,-1,-1,2,4,1,0,0
,-2,0,-3,-9,-4,0,-1,0
,0,-1,-3,1,2,0,-2,1
,0,-1,1,11,-2,-1,-2,0
,-1,-1,1,-3,-1,-1,-1,-2
,1,-2,0,-1,-1,0,0,-1
,0,-1,-3,-2,-1,0,0,0
,-4,-1,-2,-6,-2,0,0,-1
,-2,-2,-5,-3,-3,-2,-2,-1
,0,0,-1,-1,-1,0,0,-2
,1,-3,2,1,-1,0,0,-3
,0,-2,0,0,-1,0,0,0
,0,-1,3,4,0,-1,2,-1
,-1,1,0,-5,-4,-1,-2,0
,-1,0,4,10,0,0,0,-1
,-3,-1,-4,-5,-4,-2,-2,-1
,-2,1,-5,-7,2,-1,-2,0
,0,-1,-3,-4,0,1,0,2
,-1,0,5,5,0,-1,-1,-1
,2,0,2,12,2,-1,2,-1
,-1,-2,-3,-9,-4,-3,-1,-1
,-2,-1,1,-1,1,-1,0,-2
,-1,-1,-6,-9,-1,-1,1,-1
,-1,0,1,-2,1,0,-2,1
,-1,-1,1,1,0,2,-3,-2
,1,0,-3,0,-1,-2,-1,0
,1,-1,0,0,-2,-1,0,1
,0,-1,-1,-2,0,0,-2,-1
,0,1,-1,-4,-1,0,-1,0
,-2,-1,-1,-1,-3,-2,-2,-1
,-1,0,1,1,1,-1,-2,0
,0,-1,1,8,1,0,1,0
,-1,-2,2,-1,2,-1,-1,1
,-3,-1,1,8,-2,-1,-1,-2
,-2,-1,-5,-16,-1,-1,-1,-1
,-1,-1,0,6,-1,0,-1,0
,-1,-1,-1,-2,-1,-1,-2,-1
,-1,0,-2,-4,-1,0,-1,-2
,-1,0,-5,2,-2,-2,0,0
,-1,1,-1,-11,0,0,0,-3
,-1,-4,0,4,-3,-1,0,-1
,0,-1,0,1,1,-2,-1,0
,-2,0,-1,1,0,1,-1,-1
,-2,-1,-1,-5,-2,-2,0,-1
,1,-1,-3,2,0,1,-1,-1
,1,0,-1,-8,-3,-1,-1,0
,1,0,1,8,5,-1,0,-1
,-2,-1,1,2,0,0,-1,0
,-2,0,2,1,2,-1,0,-1
,-2,-4,-3,-4,-3,-1,0,0
,0,0,-1,-1,-3,0,-2,-1
,-3,-2,-1,-15,-2,-2,-2,1
,-1,0,0,13,-1,1,0,0
,-1,-1,3,-1,1,0,0,0
,-1,-1,-3,1,-3,-1,-2,-1
,0,-1,-4,-8,-3,0,0,-1
,-2,0,-1,-4,-2,-2,-1,-1
,-1,-1,0,3,1,0,1,0
,-2,-2,1,-4,0,-1,-2,-1
,0,-2,-1,6,0,1,0,-1
,1,-3,0,-6,-4,-2,-2,0
,-1,-1,-3,4,-2,0,-1,-1
,-1,0,0,0,0,0,-1,-1
,-1,-1,-4,-3,-1,-2,0,-2
,-2,-1,-5,-2,-2,0,0,0
,0,1,0,0,-1,-1,-2,-1
,1,-2,-2,-11,-3,1,-2,-1
,-2,1,1,13,0,-2,1,1
,1,-1,2,1,3,0,2,0
,-2,0,-4,-6,-1,-2,-1,0
,-1,-1,-1,2,-2,-1,-1,0
,1,-1,-2,-5,-1,-2,-2,-1
,0,-1,0,-3,-2,-3,0,-3
,0,0,-1,2,1,0,-1,0
,0,-2,0,1,0,0,0,0
,-2,-1,-3,-5,1,0,0,0
,-2,0,-1,1,-3,0,-1,-1
,-1,-2,-2,-4,1,-1,0,-1
,-1,-1,-4,3,-1,-1,0,0
,0,-1,-1,1,0,1,-1,0
,-1,0,-1,-14,-3,-1,-2,1
,-1,-1,1,6,3,-1,-2,-2
,-1,0,3,10,-1,-1,-1,-1
,0,-1,0,-6,-1,0,2,-1
,0,0,-1,-2,1,0,-1,-2
,-1,-3,-1,2,-3,-1,1,-2
,0,-1,-1,-4,-1,0,1,-2
,-1,0,-1,5,1,-1,-2,0
,-2,-1,-4,0,-2,0,-1,-2
,-1,-1,-2,-1,-1,0,0,-1
,0,-1,-2,-2,-1,-1,0,0
,0,0,4,1,1,-2,0,0
,-1,-3,1,-2,-3,-1,-1,-1
,0,0,0,2,3,-2,1,-1
,-3,-1,-3,-1,-3,-1,1,-1
,1,-2,-2,-4,0,-1,0,-2
,-1,-1,-2,0,-1,0,-2,-1
,-1,1,1,0,-1,0,-2,-1
,0,-1,-3,-6,0,0,0,-1
,-2,1,2,-8,0,0,0,-2
,-1,0,-2,16,0,-1,0,0
,0,0,5,1,-1,0,0,0
,-1,0,-4,-4,0,0,0,-1
,-2,-1,-1,-2,-4,-2,-1,-2
,-1,-1,-1,-4,1,-1,0,0
,-1,0,-2,2,-1,-1,0,-1
,-1,-1,1,2,-2,-1,-3,-1
,-1,-3,-3,-4,-3,-3,-1,-1
,-2,-1,-3,-4,-4,-2,-1,-1
,1,-1,-4,1,2,0,1,0
,-1,2,4,0,0,-1,0,-2
,-2,0,0,1,-2,-2,-3,0
,-1,-1,-1,-5,0,0,-1,0
,-1,-3,-5,4,0,-1,-3,-2
,-2,1,1,-8,-2,-2,-2,0
,-1,1,-1,5,0,-2,0,-1
,0,-3,1,9,1,1,-1,0
,-3,-1,-3,-9,-3,-2,-2,-2
,0,-2,-2,-2,-2,0,0,1
,-1,-2,-3,-3,-2,0,-2,-2
,0,1,-2,-4,1,-1,0,0
,-1,-1,0,5,-1,0,-1,-2
,0,-1,3,3,0,-1,-3,-1
,-2,1,-2,0,3,0,0,-1
,-1,-1,-4,-5,-5,-2,-3,-2
,-1,-2,0,-2,-2,1,0,0
,-2,-1,-2,-1,0,-1,-1,-2
,0,0,-4,-1,-5,0,-2,0
,0,2,8,6,6,0,-1,0
,-2,0,-1,-2,-1,-1,-1,-1
,0,-2,0,2,-3,-1,0,-1
,-2,-2,-3,-11,-2,1,0,-2
,0,-2,-3,2,-2,-2,-2,-1
,-1,1,2,-3,-2,0,1,-1
,-1,0,-2,7,2,1,-1,-1
,-3,-1,1,-1,0,-1,-1,0
,0,-2,-2,-8,-2,0,1,-2
,0,1,0,-1,-4,-2,-1,-1
,-1,2,0,5,3,0,-2,-1
,0,0,1,5,0,0,-2,0
,-2,-1,-2,-4,-1,-2,0,1
,-2,0,-2,0,-1,0,0,0
,0,-2,-3,-5,-1,0,0,0
,-1,0,-2,1,-1,-2,-2,-1
,-1,2,5,3,1,-2,0,-1
,1,-2,-5,-7,-2,0,0,1
,-1,1,3,6,-2,1,1,-1
,0,-1,0,-3,-1,-1,0,-1
,-2,-2,-6,3,-1,0,0,-1
,-2,-1,-2,-17,-3,-1,-2,-1
,-1,-1,-1,5,1,-2,0,-1
,1,-2,1,8,1,-1,0,1
,-1,0,1,-3,-1,-2,1,-2
,-1,-1,-2,1,1,1,0,-1
,0,-1,-3,-9,-3,-2,-1,-1
,-1,-2,-1,-2,-3,-1,-1,0
,0,-2,-2,-1,-2,-2,0,-1
,-2,-2,1,-1,1,-1,-1,0
,-1,-3,-1,-1,0,0,0,-2
,-1,-1,-2,-1,-2,-2,0,-1
,-2,-2,-3,-2,0,-1,0,-1
,-2,-2,-4,2,0,-2,-2,0
,-1,-2,1,1,1,-1,-1,0
,0,-2,1,1,-2,1,0,-1
,0,0,-1,-4,-2,0,0,0
,-1,-1,-2,4,2,0,1,-1
,0,-2,-4,-5,-2,-4,-1,0
,-1,-2,1,0,1,1,0,1
,-1,-1,0,0,1,-1,-3,-1
,1,0,-1,1,-1,-2,0,-1
,0,-2,-3,0,-1,-1,-1,0
,0,2,-1,-3,-3,-1,0,0
,-1,-1,0,0,0,0,1,-1
,0,-1,0,3,1,-3,0,0
,0,-2,-5,-18,-3,-2,0,-2
,-1,-1,-2,13,2,-1,-2,-1
,0,0,6,4,1,2,-2,0
,-2,-1,1,2,-3,0,-1,-1
,-1,-1,-4,0,0,0,0,-1
,1,0,-1,-8,-2,-1,0,-1
,0,0,-5,-2,-4,0,-2,-1
,0,0,0,-2,-1,0,0,-1
,-2,0,0,-1,0,-1,0,-1
,-1,-1,0,-3,1,1,-1,-2
,-1,-1,-1,2,-2,-1,-1,-1
,1,-1,0,-2,-2,-1,-2,-3
,0,1,-2,2,0,-1,-1,0
,-2,-1,-4,-10,0,0,0,-1
,-1,-1,2,2,-1,0,0,0
,-1,0,3,3,2,0,-1,-1
,-1,-1,-2,-2,-2,-1,0,1
,0,-1,-1,-4,2,-3,-2,-1
,1,-1,-3,3,0,-2,1,-1
,-1,0,4,-7,-4,1,0,0
,-1,-2,1,7,1,1,-1,0
,-3,0,-2,-3,-3,-1,1,0
,-1,-1,-5,-9,-2,-1,-2,-2
,0,0,-1,6,3,0,0,0
,-1,-2,1,-2,-1,-2,-2,-1
,0,-1,-3,2,-2,-2,-1,-1
,0,-1,-1,-3,1,-1,-1,-1
,-2,0,-3,-1,-2,-1,-2,0
,-2,0,1,1,-2,1,-2,-1
,0,-2,-2,2,-1,-1,0,-2
,-1,-1,-3,-8,-2,-1,-1,0
,0,-3,-2,-1,-1,-1,0,-1
,2,0,4,8,1,1,-1,1
,-2,-2,0,0,-2,-1,-1,-1
,-2,-4,-3,-14,-5,0,1,0
,-2,-2,-6,6,-1,-2,0,-1
,0,0,1,1,1,1,0,-2
,1,2,2,13,2,0,-1,-1
,-1,1,1,-3,1,0,-1,-1
,-2,-3,-5,-6,-3,-2,-1,-1
,0,-1,-3,-4,-2,-3,-1,0
,-1,-1,-3,-5,-1,-1,-2,-1
,1,-2,0,2,-2,-2,-1,0
,-1,-1,1,-2,-2,0,-1,0
,-1,0,-5,-2,-3,-2,-1,0
,0,2,3,2,0,0,-1,0
,-2,-4,-3,3,-1,1,-1,0
,-1,-1,1,-1,1,0,-1,0
,0,-2,-2,-7,-1,-1,-2,-1
,-1,-1,-1,0,-4,-1,0,0
,0,2,0,-3,-2,-1,-2,-1
,-1,-1,1,1,4,-2,-2,0
,-1,-2,-1,7,-2,0,-2,0
,0,-1,0,-4,-2,0,-2,1
,0,1,0,9,3,-2,0,-2
,-1,-1,-4,-10,-5,0,0,-1
,-3,-1,-2,-3,0,0,-1,-1
,-3,-2,-2,-2,-2,0,-2,-2
,0,-3,-1,-7,-1,-2,-2,0
,-1,0,-1,1,-2,-1,-1,-1
,0,0,7,7,2,-1,-1,-1
,-2,0,-2,-1,0,-1,0,0
,-2,-2,-2,0,0,-1,0,0
,-1,-1,-2,-3,-1,-2,-2,-1
,0,-2,-4,-3,-3,-1,-1,-1
,-1,-4,-1,-7,-1,0,1,0
,1,1,0,2,1,1,-2,0
,0,-1,1,3,-1,-2,1,-1
,-2,1,0,-3,0,4,0,0
,1,4,0,-3,-3,-2,0,-2
,-1,-4,-1,2,0,0,0,-1
,-1,-1,0,-3,-3,-3,-1,0
,-1,-1,0,2,-1,-20,-1,-3
,-1,-1,-3,-3,5,36,1,0
,-1,2,-2,2,-3,-6,1,0
,0,1,3,-2,-1,6,0,-1
,-1,2,0,-4,-2,-9,-3,-2
,-3,-3,-5,-1,-1,-11,-1,-1
,1,-1,1,-1,0,0,0,0
,-3,-10,-4,-11,-2,-1,-1,-2
,0,-1,0,12,0,5,1,0
,0,0,0,-1,-2,-21,-3,-1
,-1,17,4,-1,-2,27,1,-1
,-3,-20,-6,-3,0,-11,-3,-1
,0,4,1,-8,-1,7,-1,-1
,0,1,2,6,3,-6,3,0
,-1,-4,-3,-1,-3,-11,-3,-1
,-1,1,-2,-5,-2,4,0,1
,0,-5,-6,-3,-2,3,-1,-1
,0,2,3,6,1,-1,-1,0
,-1,1,1,-3,-3,-3,2,0
,0,29,7,6,0,4,0,-1
,-1,-32,-6,-8,1,-1,-1,-1
,1,2,-3,3,-4,-1,4,1
,-3,-5,-1,-8,0,-1,-7,-6
,2,0,-2,9,-1,-1,0,0
,0,14,4,1,-1,-1,0,1
,-1,-2,-3,-7,0,0,1,1
,1,-8,-3,1,0,-9,-1,1
,-1,2,-1,-1,-1,10,-1,0
,-3,5,0,-1,0,7,0,-1
,-1,-8,-2,-1,-3,1,1,0
,-1,1,-4,-5,-3,-3,0,2
,0,0,-2,3,5,-11,-2,-3
,0,-1,0,-3,-5,-3,-1,-3
,-1,0,-1,2,3,2,-2,-1
,-3,-7,-3,1,-1,-7,0,0
,-2,-1,-1,-6,-3,0,0,1
,-2,0,-1,0,0,0,1,0
,-1,2,0,-2,-3,-4,-4,-2
,0,-2,-1,-1,-1,-1,-2,-1
,1,-2,0,2,-1,-1,0,-1
,-1,-4,-5,-2,-2,1,0,1
,-1,1,-2,-1,-6,-2,-3,-3
,-1,-3,-1,-7,1,0,0,1
,1,-2,-2,9,-3,1,2,0
,0,5,2,-3,2,-4,-2,-1
,0,-4,-1,2,0,0,-2,0
,0,-3,2,1,-2,1,0,-3
,-2,1,0,-6,-6,-3,-1,0
,-1,-1,-4,-4,-2,-2,-1,0
,-3,-5,-2,3,6,1,-1,0
,-1,4,-1,0,-1,1,0,0
,-1,-4,-1,-4,0,-2,-2,-1
,0,1,0,2,-3,0,0,-1
,-1,-2,-3,-6,-4,-1,-2,-1
,-2,2,-2,4,1,-1,-2,-1
,-1,-2,0,3,0,1,0,-2
,-1,-1,-3,-11,-2,0,-1,0
,0,0,-1,8,1,-1,-1,-3
,-1,1,2,6,1,1,-1,1
,-1,-2,0,-2,-2,-1,0,0
,0,0,0,0,-1,-2,0,-1
,-2,-1,1,-9,-5,-3,-1,-1
,0,-1,-2,4,1,-1,-1,-1
,2,-1,-1,-2,-1,0,-1,1
,0,0,1,2,2,1,0,-1
,-1,-1,0,0,-3,0,-1,1
,-1,-2,0,3,-1,0,0,0
,-3,0,-1,-6,-2,-1,-2,-1
,-1,-1,0,-1,-3,-2,-2,0
,0,-2,-2,-3,-3,-1,-1,-1
,-2,-2,-1,-3,2,-1,-2,-1
,-2,-1,2,9,-1,-1,0,-2
,0,2,-3,-4,-1,-1,0,0
,-1,-2,1,0,-2,0,-1,-1
